ACTUAL,pr_out1,pr_out2,pr_out3,pr_out4,pr_out5,pr_out6,pr_out7,pr_out8,pr_out9,pr_out10,average output,error,% error
82,82,85,81,85,81,85,82,81,85,85,83.2,0.014634146,1.463414634
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
74,71,71,65,68,71,71,68,68,65,68,68.6,0.072972973,7.297297297
80,81,81,81,81,81,81,81,81,81,81,81,0.0125,1.25
82,71,71,71,71,71,71,71,71,71,71,71,0.134146341,13.41463415
82,76,77,77,77,76,76,77,77,76,77,76.6,0.065853659,6.585365854
82,76,74,76,74,76,76,76,76,76,74,75.4,0.080487805,8.048780488
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
82,84,84,84,84,84,84,82,84,84,86,84,0.024390244,2.43902439
79,88,88,88,88,88,88,88,88,88,88,88,0.113924051,11.39240506
80,86,86,86,86,86,86,86,86,86,86,86,0.075,7.5
78,72,72,72,72,72,72,72,72,72,72,72,0.076923077,7.692307692
78,88,88,88,88,86,86,88,86,88,86,87.2,0.117948718,11.79487179
77,82,82,82,82,82,82,82,82,82,82,82,0.064935065,6.493506494
75,82,82,82,82,82,82,82,82,82,82,82,0.093333333,9.333333333
77,86,82,79,79,83,82,79,82,82,82,81.6,0.05974026,5.974025974
77,76,76,76,76,76,76,76,76,76,76,76,0.012987013,1.298701299
77,81,80,80,81,81,81,81,80,80,81,80.6,0.046753247,4.675324675
76,86,82,81,86,81,82,81,82,81,85,82.7,0.088157895,8.815789474
77,84,84,84,84,84,84,86,86,84,86,84.6,0.098701299,9.87012987
80,66,66,66,66,66,66,66,66,66,66,66,0.175,17.5
79,82,82,82,82,82,82,82,82,82,82,82,0.037974684,3.797468354
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
75,74,74,74,74,74,74,70,74,70,70,72.8,0.029333333,2.933333333
73,86,86,86,86,86,86,86,86,86,86,86,0.178082192,17.80821918
76,85,86,85,86,85,86,86,86,85,86,85.6,0.126315789,12.63157895
74,68,68,68,68,70,68,68,68,68,68,68.2,0.078378378,7.837837838
75,74,74,74,74,74,74,74,74,74,74,74,0.013333333,1.333333333
75,68,68,68,68,68,68,68,68,68,68,68,0.093333333,9.333333333
74,81,81,81,81,81,81,81,81,81,81,81,0.094594595,9.459459459
75,86,86,86,86,86,86,86,86,86,86,86,0.146666667,14.66666667
78,77,77,77,77,77,77,77,77,77,77,77,0.012820513,1.282051282
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
75,80,80,80,80,80,80,80,80,80,80,80,0.066666667,6.666666667
74,88,88,88,88,88,88,88,88,88,88,88,0.189189189,18.91891892
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
75,72,70,70,69,70,67,70,67,67,70,69.2,0.077333333,7.733333333
74,83,83,83,83,83,83,83,83,83,83,83,0.121621622,12.16216216
72,90,90,90,90,90,90,90,90,90,90,90,0.25,25
72,86,86,86,86,86,86,88,86,86,86,86.2,0.197222222,19.72222222
74,86,86,86,86,86,86,86,86,86,86,86,0.162162162,16.21621622
71,67,67,67,67,67,67,67,67,67,67,67,0.056338028,5.633802817
72,84,84,84,84,84,84,84,84,84,84,84,0.166666667,16.66666667
72,84,84,86,86,86,86,86,84,86,86,85.4,0.186111111,18.61111111
72,69,68,68,68,68,68,68,68,68,68,68.1,0.054166667,5.416666667
71,86,86,81,86,84,84,83,86,84,86,84.6,0.191549296,19.15492958
73,66,66,66,66,64,66,66,66,64,64,65.4,0.104109589,10.4109589
72,76,78,75,76,75,76,75,75,76,75,75.7,0.051388889,5.138888889
73,78,78,78,78,78,78,78,78,78,78,78,0.068493151,6.849315068
72,78,78,78,78,78,78,78,78,78,78,78,0.083333333,8.333333333
75,86,86,86,86,86,86,86,86,86,86,86,0.146666667,14.66666667
70,88,88,88,88,86,86,88,86,88,86,87.2,0.245714286,24.57142857
65,84,84,84,84,84,84,84,84,84,84,84,0.292307692,29.23076923
64,84,84,84,84,84,84,84,84,84,84,84,0.3125,31.25
66,67,67,67,67,67,67,67,67,67,67,67,0.015151515,1.515151515
67,76,76,76,76,76,76,76,76,76,76,76,0.134328358,13.43283582
68,82,82,82,82,82,82,82,82,82,82,82,0.205882353,20.58823529
68,88,88,86,86,86,86,86,88,88,88,87,0.279411765,27.94117647
